class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-root,stem-surface,stem-color,has-ring,ring-type,spore-print-color,habitat,season,stem-width_cm
1,15.22,f,g,o,f,e,f,w,5.95,s,y,w,t,p,k,d,u,1.746
1,15.49,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.6640000000000001
1,12.16,x,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.7510000000000001
1,16.04,f,h,o,f,e,f,w,5.95,s,y,w,t,p,p,d,u,1.719
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.705
1,15.35,f,g,o,f,e,d,w,5.95,s,y,w,t,g,w,d,u,1.8210000000000002
1,11.17,x,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.612
1,13.74,x,g,e,f,e,f,w,5.95,s,y,w,t,g,n,d,u,1.579
1,14.62,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.702
1,13.14,f,h,o,f,e,d,w,5.95,s,y,w,t,p,p,d,w,1.8050000000000002
1,15.53,x,g,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.737
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.879
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,g,d,u,1.889
1,15.31,x,g,o,f,e,d,w,5.95,s,y,w,t,p,w,d,w,1.704
1,16.11,f,h,e,f,e,f,w,5.95,s,y,w,t,p,k,d,u,1.7879999999999998
1,14.96,x,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,a,1.7510000000000001
1,16.12,x,g,e,f,e,d,w,5.95,s,y,w,t,p,n,d,u,1.693
1,14.19,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.83
1,15.67,x,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.952
1,11.35,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.5390000000000001
1,14.52,x,g,o,f,e,c,w,5.95,s,y,w,t,p,w,d,u,1.7570000000000001
1,14.41,f,h,o,f,e,c,w,5.95,s,y,w,t,g,g,d,a,1.6960000000000002
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.666
1,13.36,x,g,o,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.7079999999999997
1,14.29,x,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.8
1,12.29,x,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.6260000000000001
1,13.66,f,h,o,f,e,d,w,5.95,s,y,w,t,g,w,d,w,1.7289999999999999
1,14.51,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.598
1,14.55,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.7899999999999998
1,14.97,f,g,e,f,e,d,w,5.95,s,y,w,t,g,n,d,u,1.7510000000000001
1,13.06,x,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.6190000000000002
1,12.85,x,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.6640000000000001
1,14.0,f,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,w,1.6039999999999999
1,13.93,f,h,e,f,e,f,w,5.95,s,y,w,t,p,g,d,w,1.686
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.815
1,14.43,f,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.8239999999999998
1,13.43,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.625
1,13.04,f,h,o,f,e,f,w,5.95,s,y,w,t,g,p,d,a,1.7489999999999999
1,5.86,x,g,e,f,e,c,w,5.95,s,y,w,t,g,n,d,w,1.8940000000000001
1,15.07,f,h,e,f,e,f,w,5.95,s,y,w,t,g,u,d,w,1.888
1,15.03,f,h,e,f,e,d,w,5.95,s,y,w,t,p,k,d,w,1.8359999999999999
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.8690000000000002
1,11.02,f,g,o,f,e,c,w,5.95,s,y,w,t,g,g,d,u,1.6019999999999999
1,5.86,f,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.791
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.7760000000000002
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.996
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.7289999999999999
1,14.94,x,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,a,1.826
1,14.74,f,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.85
1,15.97,x,h,o,f,e,d,w,5.95,s,y,w,t,g,g,d,u,1.689
1,13.56,x,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.796
1,15.13,x,h,e,f,e,d,w,5.95,s,y,w,t,p,w,d,u,1.8329999999999997
1,15.42,f,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.8239999999999998
1,13.49,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.7440000000000002
1,15.71,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.823
1,14.96,f,g,e,f,e,d,w,5.95,s,y,w,t,p,w,d,u,1.737
1,15.34,f,h,o,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.862
1,12.26,x,g,o,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.7579999999999998
1,13.46,f,g,o,f,e,d,w,5.95,s,y,w,t,p,k,d,w,1.53
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.8510000000000002
1,14.98,x,g,e,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.77
1,13.7,f,h,e,f,e,c,w,5.95,s,y,w,t,g,g,d,u,1.7739999999999998
1,14.92,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.702
1,12.0,f,g,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.623
1,14.75,f,h,e,f,e,f,w,5.95,s,y,w,t,g,k,d,w,1.7239999999999998
1,5.86,f,g,e,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.8379999999999999
1,11.77,x,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,u,1.557
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.8800000000000001
1,13.89,f,g,e,f,e,f,w,5.95,s,y,w,t,g,n,d,w,1.766
1,11.71,f,h,e,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.61
1,15.5,f,h,o,f,e,c,w,5.95,s,y,w,t,p,g,d,u,1.809
1,15.93,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.69
1,5.86,f,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,a,1.816
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,g,w,d,a,1.779
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,u,1.8350000000000002
1,14.14,x,g,o,f,e,d,w,5.95,s,y,w,t,p,w,d,w,1.797
1,12.86,x,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,a,1.698
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.809
1,14.18,f,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,a,1.8199999999999998
1,13.56,x,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.674
1,14.32,x,g,e,f,e,d,w,5.95,s,y,w,t,g,k,d,a,1.577
1,13.64,x,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.693
1,13.49,x,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.7510000000000001
1,14.7,x,g,e,f,e,d,w,5.95,s,y,w,t,p,k,d,a,1.6670000000000003
1,13.33,f,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.8760000000000001
1,12.87,f,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.75
1,14.36,x,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.7870000000000001
1,14.39,f,g,e,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.7239999999999998
1,14.17,x,h,e,f,e,c,w,5.95,s,y,w,t,g,w,d,w,1.707
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,u,1.783
1,12.31,f,g,e,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.6010000000000002
1,14.77,x,h,e,f,e,d,w,5.95,s,y,w,t,g,w,d,w,1.706
1,15.02,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.7260000000000002
1,13.9,x,h,o,f,e,d,w,5.95,s,y,w,t,g,g,d,u,1.77
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.6829999999999998
1,13.68,f,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.7469999999999999
1,15.0,x,g,e,f,e,d,w,5.95,s,y,w,t,g,k,d,w,1.7129999999999999
1,13.5,x,h,e,f,e,d,w,5.95,s,y,w,t,p,w,d,a,1.517
1,13.94,x,h,e,f,e,d,w,5.95,s,y,w,t,p,k,d,u,1.7489999999999999
1,14.62,f,g,e,f,e,c,w,5.95,s,y,w,t,g,g,d,u,1.765
1,13.76,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.7870000000000001
1,5.86,x,h,e,f,e,c,w,5.95,s,y,w,t,g,p,d,u,1.7289999999999999
1,15.5,x,g,e,f,e,d,w,5.95,s,y,w,t,g,k,d,u,1.879
1,14.77,x,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,a,1.6510000000000002
1,5.86,x,g,o,f,e,d,w,5.95,s,y,w,t,p,n,d,u,1.9129999999999998
1,15.78,x,h,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.8829999999999998
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.8050000000000002
1,5.86,f,h,o,f,e,d,w,5.95,s,y,w,t,g,n,d,w,1.832
1,13.06,x,g,e,f,e,d,w,5.95,s,y,w,t,p,p,d,u,1.9120000000000001
1,15.48,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.6480000000000001
1,16.1,f,g,o,f,e,f,w,5.95,s,y,w,t,g,w,d,w,1.7280000000000002
1,15.57,x,g,e,f,e,f,w,5.95,s,y,w,t,p,k,d,w,1.818
1,15.02,x,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,a,1.6809999999999998
1,14.13,x,h,e,f,e,c,w,5.95,s,y,w,t,g,n,d,a,1.655
1,16.03,f,g,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.8370000000000002
1,13.82,x,h,o,f,e,d,w,5.95,s,y,w,t,p,n,d,a,1.573
1,15.89,x,g,o,f,e,f,w,5.95,s,y,w,t,g,n,d,u,1.8030000000000002
1,15.0,f,g,o,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.8199999999999998
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.823
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.607
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.659
1,5.86,f,h,e,f,e,c,w,5.95,s,y,w,t,g,n,d,u,1.839
1,12.96,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.6600000000000001
1,15.59,x,h,o,f,e,d,w,5.95,s,y,w,t,g,k,d,w,1.8579999999999999
1,14.37,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.7269999999999999
1,14.8,x,g,e,f,e,d,w,5.95,s,y,w,t,g,k,d,w,1.766
1,13.42,f,g,o,f,e,c,w,5.95,s,y,w,t,g,w,d,w,1.784
1,13.44,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.654
1,15.64,x,g,o,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.7329999999999999
1,15.16,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.735
1,14.24,f,h,o,f,e,d,w,5.95,s,y,w,t,p,w,d,a,1.707
1,13.27,x,g,e,f,e,d,w,5.95,s,y,w,t,p,k,d,w,1.783
1,14.33,x,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,a,1.7449999999999999
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.8820000000000001
1,5.86,x,g,e,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.814
1,14.63,f,h,o,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.593
1,14.71,f,g,e,f,e,c,w,5.95,s,y,w,t,g,u,d,w,1.798
1,14.84,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.818
1,14.1,f,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,u,1.7920000000000003
1,11.69,f,g,e,f,e,c,w,5.95,s,y,w,t,p,p,d,a,1.7109999999999999
1,13.63,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.6960000000000002
1,15.29,f,g,e,f,e,c,w,5.95,s,y,w,t,g,g,d,w,1.637
1,15.57,x,g,e,f,e,c,w,5.95,s,y,w,t,p,p,d,a,1.841
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,g,n,d,u,1.7489999999999999
1,15.4,f,g,e,f,e,d,w,5.95,s,y,w,t,g,n,d,w,1.725
1,13.64,f,h,e,f,e,d,w,5.95,s,y,w,t,p,k,d,u,1.759
1,5.86,x,h,e,f,e,d,w,5.95,s,y,w,t,g,n,d,u,1.73
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,g,n,d,w,1.8539999999999999
1,15.48,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.7399999999999998
1,14.57,f,g,o,f,e,d,w,5.95,s,y,w,t,g,w,d,u,1.8489999999999998
1,14.45,x,g,e,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.766
1,15.79,f,h,e,f,e,c,w,5.95,s,y,w,t,p,u,d,w,1.813
1,5.86,x,g,o,f,e,d,w,5.95,s,y,w,t,g,n,d,a,1.8809999999999998
1,14.91,f,g,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.607
1,5.86,f,g,o,f,e,c,w,5.95,s,y,w,t,p,n,d,w,1.6649999999999998
1,13.73,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,w,1.6969999999999998
1,14.99,f,h,o,f,e,c,w,5.95,s,y,w,t,g,g,d,a,1.621
1,15.01,x,g,o,f,e,c,w,5.95,s,y,w,t,g,r,d,a,1.7329999999999999
1,15.84,x,h,o,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.847
1,5.86,x,g,o,f,e,d,w,5.95,s,y,w,t,p,n,d,a,1.8010000000000002
1,11.29,f,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.669
1,13.95,f,h,o,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.59
1,14.27,x,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.687
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.83
1,13.05,x,g,o,f,e,c,w,5.95,s,y,w,t,g,k,d,a,1.7760000000000002
1,14.45,f,h,e,f,e,d,w,5.95,s,y,w,t,p,n,d,u,1.7440000000000002
1,15.88,f,h,o,f,e,c,w,5.95,s,y,w,t,p,w,d,a,1.916
1,15.28,f,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.7870000000000001
1,14.68,x,h,o,f,e,d,w,5.95,s,y,w,t,g,k,d,a,1.64
1,14.39,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.6079999999999999
1,5.86,f,g,o,f,e,f,w,5.95,s,y,w,t,g,k,d,a,1.741
1,15.47,f,h,e,f,e,d,w,5.95,s,y,w,t,p,r,d,u,1.8379999999999999
1,14.05,x,g,o,f,e,d,w,5.95,s,y,w,t,p,r,d,w,1.707
1,15.02,f,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.6600000000000001
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,g,d,u,1.8039999999999998
1,15.01,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.739
1,5.86,x,g,o,f,e,c,w,5.95,s,y,w,t,p,u,d,u,1.815
1,14.94,f,h,e,f,e,c,w,5.95,s,y,w,t,g,w,d,u,1.685
1,13.22,f,g,o,f,e,c,w,5.95,s,y,w,t,p,w,d,w,1.643
1,13.66,x,h,o,f,e,c,w,5.95,s,y,w,t,g,k,d,u,1.698
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.8940000000000001
1,11.68,f,g,o,f,e,c,w,5.95,s,y,w,t,g,n,d,a,1.6620000000000001
1,13.45,f,g,o,f,e,c,w,5.95,s,y,w,t,g,p,d,w,1.616
1,14.42,x,h,e,f,e,c,w,5.95,s,y,w,t,g,k,d,w,1.657
1,15.6,f,g,e,f,e,c,w,5.95,s,y,w,t,p,k,d,u,1.8829999999999998
1,10.58,x,h,o,f,e,d,w,5.95,s,y,w,t,g,n,d,w,1.553
1,5.86,x,h,e,f,e,d,w,5.95,s,y,w,t,g,w,d,w,1.966
1,15.6,x,h,o,f,e,f,w,5.95,s,y,w,t,p,n,d,w,1.689
1,5.86,x,h,e,f,e,d,w,5.95,s,y,w,t,p,u,d,a,1.7109999999999999
1,15.66,f,h,o,f,e,c,w,5.95,s,y,w,t,p,k,d,a,1.8329999999999997
1,12.18,f,h,o,f,e,c,w,5.95,s,y,w,t,p,n,d,a,1.6179999999999999
1,15.71,f,g,e,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.798
1,14.73,x,h,e,f,e,d,w,5.95,s,y,w,t,g,g,d,w,1.714
1,12.42,f,h,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.7710000000000001
1,5.86,x,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,u,1.909
1,5.86,f,h,o,f,e,c,w,5.95,s,y,w,t,g,u,d,a,1.8030000000000002
1,15.35,f,h,e,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.754
1,14.34,f,h,o,f,e,c,w,5.95,s,y,w,t,p,p,d,w,1.599
1,13.99,x,g,e,f,e,d,w,5.95,s,y,w,t,g,k,d,u,1.585
1,5.86,f,g,o,f,e,d,w,5.95,s,y,w,t,p,w,d,a,1.69
1,15.72,f,g,e,f,e,c,w,5.95,s,y,w,t,p,n,d,u,1.698
1,15.73,x,h,o,f,e,f,w,5.95,s,y,w,t,g,k,d,a,1.793
1,14.81,x,h,e,f,e,d,w,5.95,s,y,w,t,p,p,d,w,1.829
1,5.86,x,g,e,f,e,c,w,5.95,s,y,w,t,g,p,d,a,1.796
1,14.05,x,g,e,f,e,d,w,5.95,s,y,w,t,p,k,d,a,1.7449999999999999
